1605144451.521308, 	 reno wscale:9,9 rto:404 rtt:200.92/3.224 mss:1448 cwnd:163 ssthresh:308 bytes_acked:1336529 segs_out:2028 segs_in:651 send 9.4Mbps lastsnd:4 lastrcv:1708 lastack:4 pacing_rate 42.5Mbps unacked:617 retrans:11/485 lost:11 sacked:454 rcv_space:14480
1605144451.541429, 	 reno wscale:9,9 rto:404 rtt:201.672/0.436 mss:1448 cwnd:162 ssthresh:308 bytes_acked:1336529 segs_out:2045 segs_in:665 send 9.3Mbps lastrcv:1728 pacing_rate 43.6Mbps unacked:633 retrans:9/486 lost:9 sacked:471 rcv_space:14480
1605144451.562951, 	 reno wscale:9,9 rto:404 rtt:201.519/0.27 mss:1448 cwnd:162 ssthresh:308 bytes_acked:1336529 segs_out:2063 segs_in:677 send 9.3Mbps lastrcv:1748 pacing_rate 44.8Mbps unacked:651 retrans:9/486 lost:9 sacked:489 rcv_space:14480
1605144451.583262, 	 reno wscale:9,9 rto:404 rtt:201.398/0.374 mss:1448 cwnd:162 ssthresh:308 bytes_acked:1336529 segs_out:2080 segs_in:688 send 9.3Mbps lastrcv:1768 pacing_rate 46.0Mbps unacked:668 retrans:9/486 lost:9 sacked:506 rcv_space:14480
1605144451.603344, 	 reno wscale:9,9 rto:400 rtt:198.838/0.769 mss:1448 cwnd:161 ssthresh:308 bytes_acked:1336529 segs_out:2095 segs_in:698 send 9.4Mbps lastrcv:1788 pacing_rate 47.6Mbps unacked:682 retrans:10/487 lost:10 sacked:521 rcv_space:14480
1605144451.623584, 	 reno wscale:9,9 rto:400 rtt:198.199/1.098 mss:1448 cwnd:161 ssthresh:308 bytes_acked:1336529 segs_out:2109 segs_in:707 send 9.4Mbps lastrcv:1808 pacing_rate 48.7Mbps unacked:696 retrans:10/487 lost:10 sacked:535 rcv_space:14480
1605144451.643598, 	 reno wscale:9,9 rto:400 rtt:199.048/0.639 mss:1448 cwnd:161 ssthresh:308 bytes_acked:1336529 segs_out:2125 segs_in:719 send 9.4Mbps lastrcv:1828 pacing_rate 49.7Mbps unacked:712 retrans:10/487 lost:10 sacked:551 rcv_space:14480
1605144451.663139, 	 reno wscale:9,9 rto:400 rtt:196.638/1.025 mss:1448 cwnd:157 ssthresh:308 bytes_acked:1336529 segs_out:2142 segs_in:729 send 9.2Mbps lastrcv:1848 pacing_rate 51.1Mbps unacked:725 retrans:11/491 lost:11 sacked:568 rcv_space:14480
1605144451.685253, 	 reno wscale:9,9 rto:396 rtt:195.179/0.798 mss:1448 cwnd:157 ssthresh:308 bytes_acked:1336529 segs_out:2162 segs_in:740 send 9.3Mbps lastrcv:1872 pacing_rate 52.9Mbps unacked:745 retrans:11/491 lost:11 sacked:588 rcv_space:14480
1605144451.707011, 	 reno wscale:9,9 rto:396 rtt:195.566/0.438 mss:1448 cwnd:154 ssthresh:154 bytes_acked:1770929 segs_out:2174 segs_in:750 send 9.1Mbps lastrcv:1892 pacing_rate 32.4Mbps unacked:457 retrans:6/491 lost:6 sacked:303 rcv_space:14480
1605144451.726107, 	 reno wscale:9,9 rto:396 rtt:195.682/0.223 mss:1448 cwnd:154 ssthresh:154 bytes_acked:1770929 segs_out:2190 segs_in:764 send 9.1Mbps lastrcv:1912 pacing_rate 33.5Mbps unacked:473 retrans:5/491 lost:5 sacked:319 rcv_space:14480
1605144451.745938, 	 reno wscale:9,9 rto:396 rtt:195.852/0.438 mss:1448 cwnd:154 ssthresh:154 bytes_acked:1770929 segs_out:2207 segs_in:775 send 9.1Mbps lastrcv:1932 pacing_rate 34.6Mbps unacked:490 retrans:5/491 lost:5 sacked:336 rcv_space:14480
1605144451.766235, 	 reno wscale:9,9 rto:396 rtt:195.646/0.124 mss:1448 cwnd:154 ssthresh:154 bytes_acked:1770929 segs_out:2223 segs_in:786 send 9.1Mbps lastrcv:1952 pacing_rate 35.9Mbps unacked:506 retrans:5/491 lost:5 sacked:352 rcv_space:14480
1605144451.788274, 	 reno wscale:9,9 rto:396 rtt:195.967/0.917 mss:1448 cwnd:154 ssthresh:154 bytes_acked:1770929 segs_out:2241 segs_in:798 send 9.1Mbps lastrcv:1976 pacing_rate 37.1Mbps unacked:524 retrans:4/491 lost:4 sacked:370 rcv_space:14480
1605144451.808322, 	 reno wscale:9,9 rto:396 rtt:192.146/1.148 mss:1448 cwnd:152 ssthresh:154 bytes_acked:1770929 segs_out:2258 segs_in:810 send 9.2Mbps lastsnd:4 lastrcv:1996 lastack:4 pacing_rate 38.8Mbps unacked:539 retrans:6/493 lost:6 sacked:387 rcv_space:14480
1605144451.830198, 	 reno wscale:9,9 rto:392 rtt:189.55/0.942 mss:1448 cwnd:152 ssthresh:154 bytes_acked:1770929 segs_out:2276 segs_in:823 send 9.3Mbps lastrcv:2016 pacing_rate 40.7Mbps unacked:557 retrans:6/493 lost:6 sacked:405 rcv_space:14480
1605144451.850621, 	 reno wscale:9,9 rto:388 rtt:187.714/0.995 mss:1448 cwnd:151 ssthresh:154 bytes_acked:1920073 segs_out:2295 segs_in:834 send 9.3Mbps lastrcv:2036 pacing_rate 34.7Mbps unacked:470 retrans:5/496 lost:5 sacked:319 rcv_space:14480
